courseID,schedule,course_areas,url
OPIM319G2,"Day: Wed, start time: 12:00,end time : 15:15",Operations Management Electives|Business Options|Econ Major Rel/Econ Options|Business-Oriented Electives|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1431&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM321G1,"Day: Mon, start time: 12:00,end time : 15:15",Business Options|Operations Management Core|Econ Major Rel/Econ Options|Maritime Economics Concentration|Business-Oriented Electives|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1565&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM321G2,"Day: Mon, start time: 15:30,end time : 18:45",Business Options|Operations Management Core|Econ Major Rel/Econ Options|Maritime Economics Concentration|Business-Oriented Electives|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1566&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM321G3,"Day: Thu, start time: 19:00,end time : 22:15",Business Options|Operations Management Core|Econ Major Rel/Econ Options|Maritime Economics Concentration|Business-Oriented Electives|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1567&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM324G1,"Day: Mon, start time: 19:00,end time : 22:15",Globalisation Cluster|Operations Management Electives|Business Options|Econ Major Rel/Econ Options|Business-Oriented Electives|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1796&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM325G1,"Day: Fri, start time: 08:15,end time : 11:30",Operations Management Electives|Business Options|Econ Major Rel/Econ Options|Business-Oriented Electives|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=2158&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM326G1,"Day: Tue, start time: 12:00,end time : 15:15",Advanced Business Technology Major|Analytics Major|Data Science and Analytics Electives|Operations Management Electives|Business Options|Ops Mgmt Major: Operations Analytics Track|Econ Major Rel/Econ Options|IS/T4BS: Business Analytics Track|Business-Oriented Electives|IS Related Courses|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1507&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM326G2,"Day: Tue, start time: 15:30,end time : 18:45",Advanced Business Technology Major|Analytics Major|Data Science and Analytics Electives|Operations Management Electives|Business Options|Ops Mgmt Major: Operations Analytics Track|Econ Major Rel/Econ Options|IS/T4BS: Business Analytics Track|Business-Oriented Electives|IS Related Courses|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1508&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
OPIM348G1,"Day: Mon, start time: 19:00,end time : 22:15",Operations Management Electives|Business Options|Ops Mgmt Major: Maritime Business & Ops Track|Ops Mgmt Major: Operations Analytics Track|Econ Major Rel/Econ Options|Business-Oriented Electives|IS Related Courses|Social Sciences/PLE Major-related,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=2159&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
PHIL101G1,"Day: Thu, start time: 12:00,end time : 15:15",General Education - Arts,https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=2367&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
POSC003G1,"Day: Thu, start time: 15:30,end time : 18:45","General Education - Arts|Business Options|Econ Major Rel/Econ Options|Business-Oriented Electives|Public Policy, Devt, & Mgt Track (Social Science)|PLE Core (Intake 2018 and earlier)|PLE Core (Intake 2019 onwards)|Political Science Core (Intake 2019 onwards)|Psychology Core (Intake 2019 onwards)|Sociology Core (Intake 2019 onwards)|SOSC Core (Intake 2018 and earlier)|Law Related Electives",https://boss.intranet.smu.edu.sg/ClassDetails.aspx?SelectedClassNumber=1199&SelectedAcadTerm=2110&SelectedAcadCareer=UGRD
